epoch,variant,train_loss,train_acc,val_loss,val_acc,lr
1,plain18,1.8874671854654947,0.34228888888888886,1.5136974613189698,0.4332,0.1
2,plain18,1.6295881391525269,0.4702,1.4009952686309814,0.4956,0.09997532801828658
3,plain18,1.4410179528978135,0.5680666666666667,1.3284109375,0.5266,0.09990133642141358
4,plain18,1.3028003894382052,0.6377333333333334,1.054703150177002,0.633,0.099778098230154
5,plain18,1.1929610427856445,0.6928666666666666,1.0494106729507446,0.6338,0.0996057350657239
6,plain18,1.1174100910186768,0.7294222222222222,0.9797167531967164,0.679,0.09938441702975688
7,plain18,1.0706197564442952,0.7506888888888889,0.7471378499031067,0.7574,0.09911436253643444
8,plain18,1.0388944666438633,0.7619333333333334,0.7091943719863891,0.776,0.09879583809693737
9,plain18,1.0100029488775466,0.7772666666666667,0.7162337451934815,0.7724,0.09842915805643156
10,plain18,0.9916893338521322,0.7843333333333333,0.8276043423652649,0.7446,0.09801468428384716
11,plain18,0.9794379741880629,0.7914,0.7601249544143677,0.755,0.09755282581475769
12,plain18,0.9652981223424276,0.7955555555555556,0.8078027181625366,0.7432,0.09704403844771128
13,plain18,0.952489615503947,0.8022222222222222,0.7392682790756225,0.7694,0.09648882429441258
14,plain18,0.9382096509721544,0.8104,0.7923273869037628,0.7446,0.09588773128419906
15,plain18,0.9316034188164605,0.8128666666666666,0.626825816822052,0.8058,0.09524135262330098
16,plain18,0.9213128436830309,0.8159777777777778,0.9234509653091431,0.7114,0.0945503262094184
17,plain18,0.9140113326602511,0.8211111111111111,0.7587315951347351,0.7538,0.09381533400219319
18,plain18,0.9049194864802891,0.8241777777777778,0.6073120284080505,0.8038,0.0930371013501972
19,plain18,0.8988716219902039,0.8273777777777778,0.5864333395004272,0.8176,0.09221639627510078
20,plain18,0.8892879550509982,0.8326666666666667,0.6245359748840332,0.8008,0.09135402871372812
21,plain18,0.8788401829189725,0.8366,0.6551956233024597,0.7996,0.09045084971874741
22,plain18,0.8757286689334446,0.8368,0.6778686683654785,0.7864,0.08950775061878455
23,plain18,0.8718718270725674,0.8401111111111111,0.6103999629974365,0.8176,0.0885256621387895
24,plain18,0.8641831606653002,0.8422888888888889,0.6485251481056213,0.8018,0.08750555348152302
25,plain18,0.8576215865876939,0.8444888888888888,0.5844150874614715,0.8236,0.08644843137107061
26,plain18,0.8502400387446085,0.8481111111111111,0.8477273404121399,0.7436,0.0853553390593274
27,plain18,0.8529680090374416,0.8455777777777778,0.7450599097251892,0.7826,0.08422735529643446
28,plain18,0.845902468278673,0.8499111111111111,0.8946157257080078,0.721,0.08306559326618262
29,plain18,0.8415847575187683,0.8511555555555556,0.5813041478157044,0.825,0.08187119948743452
30,plain18,0.8335652862230937,0.8555777777777778,0.7436534957885742,0.7734,0.08064535268264886
31,plain18,0.8286280451244779,0.8579777777777777,0.5558232982635498,0.8364,0.0793892626146237
32,plain18,0.8263876123216417,0.8591555555555556,0.5049984107971192,0.8528,0.07810416889260657
33,plain18,0.8229329449547662,0.8598222222222223,0.5879220733642578,0.8326,0.07679133974894986
34,plain18,0.8199629670990838,0.8613555555555555,0.5330756259918212,0.8422,0.0754520707875186
35,plain18,0.8149708919207255,0.8635333333333334,0.5558775211334228,0.8402,0.0740876837050858
36,plain18,0.8095608272340563,0.8664666666666667,0.5817813785552979,0.822,0.07269952498697738
37,plain18,0.7991376087400648,0.8717777777777778,0.5955016233444214,0.8194,0.07128896457825366
38,plain18,0.806253493309021,0.8686666666666667,0.4577442434310913,0.8726,0.06985739453173906
39,plain18,0.7948977524227566,0.8725111111111111,0.6641480412483215,0.7916,0.06840622763423394
40,plain18,0.7911251127349006,0.8740222222222223,0.560832433128357,0.8354,0.06693689601226462
41,plain18,0.7876928948508368,0.8751111111111111,0.5294368827819824,0.852,0.06545084971874741
42,plain18,0.7871682765960694,0.8757333333333334,0.46322087545394897,0.8666,0.06394955530196152
43,plain18,0.779936538611518,0.8773111111111112,0.6362534660339355,0.8088,0.062434494358242776
44,plain18,0.7744784451272753,0.8806888888888889,0.5335508295536041,0.8386,0.06090716206982718
45,plain18,0.7679283070882161,0.8836444444444445,0.5162715468406677,0.8484,0.05936906572928628
